,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,lanes,ref,bridge,junction,width
121,278214262,2449869655,0,52613535,True,بولوار امامیه,primary,60.0,324.845,"LINESTRING (59.5227428 36.3459959, 59.5226536 36.3461368, 59.522611 36.3463373, 59.5225645 36.3465325, 59.5221167 36.3480822, 59.5220284 36.3483878, 59.5218643 36.3488244)",346.0,,,,,
122,278214271,2449869829,0,237038673,True,,primary_link,,52.631,"LINESTRING (59.5202057 36.3530329, 59.5202972 36.3532111, 59.5204303 36.3534703)",22.5,,,,,
123,278214271,2449869824,0,975579444,True,بولوار امامیه,primary,60.0,31.021,"LINESTRING (59.5202057 36.3530329, 59.5201255 36.3532269, 59.5200963 36.3532976)",341.6,,,,,
124,278214272,278214273,0,976994857,True,بولوار امامیه,primary,60.0,114.666,"LINESTRING (59.5199599 36.3536278, 59.5198991 36.3537832, 59.5196871 36.3543255, 59.5195753 36.3546114)",342.5,2,,,,
125,278214273,2631664473,0,27108230,False,امامیه ۲۳,residential,30.0,72.308,"LINESTRING (59.5195753 36.3546114, 59.5202531 36.3549648)",57.1,,,,,
126,278214273,2449869916,0,976994857,True,بولوار امامیه,primary,60.0,219.723,"LINESTRING (59.5195753 36.3546114, 59.5194636 36.354895, 59.5193434 36.3552, 59.5191791 36.3556171, 59.5190515 36.355941, 59.5188333 36.3564949)",342.4,2,,,,
127,278214278,278221068,0,25529400,True,,primary_link,,67.832,"LINESTRING (59.5179514 36.3585217, 59.5178795 36.3587745, 59.5178982 36.3588801, 59.5179597 36.3589622, 59.5180946 36.3590629)",12.0,,,,,
128,278214278,2249333620,0,385028048,True,بولوار امامیه,primary,60.0,71.156,"LINESTRING (59.5179514 36.3585217, 59.5177798 36.3587844, 59.5176232 36.3589946, 59.5175606 36.3590786)",330.5,2,,,,
129,278214281,278214285,0,385028048,True,بولوار امامیه,primary,60.0,324.249,"LINESTRING (59.5172648 36.3594756, 59.5168211 36.360054, 59.5156586 36.3615696, 59.5155091 36.3617645, 59.5154013 36.3619728)",329.0,2,,,,
130,278214285,2449870284,0,971151473,True,میدان امامیه,primary,30.0,27.769,"LINESTRING (59.5154013 36.3619728, 59.5154526 36.3620451, 59.515479 36.3621255, 59.5154786 36.3622088)",14.8,3,,,roundabout,
131,278215191,278215194,0,52613533,True,بولوار امامیه,primary,60.0,298.596,"LINESTRING (59.5151394 36.3618501, 59.515376 36.3617005, 59.5164933 36.3602581, 59.5169816 36.3596276)",146.3,2,,,,
132,278215191,278214285,0,967570992,True,میدان امامیه,primary,30.0,27.763000000000005,"LINESTRING (59.5151394 36.3618501, 59.5152392 36.3618719, 59.5153285 36.3619138, 59.5154013 36.3619728)",59.8,3,,,roundabout,
133,278215194,2249333629,0,25529585,True,,primary_link,,70.836,"LINESTRING (59.5169816 36.3596276, 59.5169987 36.3594825, 59.5169816 36.3593788, 59.5169693 36.3593508, 59.5169002 36.3593151, 59.516809 36.3592729, 59.5165605 36.3592234)",220.0,,,,,
134,278215194,1150823841,0,52613533,True,بولوار امامیه,primary,60.0,54.71,"LINESTRING (59.5169816 36.3596276, 59.5172232 36.3593016, 59.5172947 36.3592051)",149.2,2,,,,
135,278215197,428281886,0,52613533,True,بولوار امامیه,primary,60.0,74.716,"LINESTRING (59.5176424 36.358736, 59.5178313 36.3584733, 59.5179772 36.3582107, 59.5180132 36.3581354)",153.6,2,,,,
136,278215202,278215413,0,976994880,True,بولوار امامیه,primary,60.0,119.22,"LINESTRING (59.519452 36.3545774, 59.5198397 36.3535517)",163.1,2,,,,
137,278215202,297427653,0,27108224,False,جواد اسکریان,residential,30.0,130.23399999999998,"LINESTRING (59.519452 36.3545774, 59.5190245 36.354365, 59.5188381 36.3542671, 59.5185854 36.3541345, 59.5182155 36.3539614)",238.3,,,,,
138,278215413,2449869823,0,237038613,True,,primary_link,,35.846,"LINESTRING (59.5198397 36.3535517, 59.5197172 36.3532448)",197.8,,,,,
139,278215413,2449869825,0,970332015,True,بولوار امامیه,primary,60.0,24.227,"LINESTRING (59.5198397 36.3535517, 59.5198868 36.3534403, 59.5199267 36.3533454)",161.2,,,,,
140,278215415,668278611,0,385028056,True,بولوار امامیه,primary,60.0,184.746,"LINESTRING (59.5201144 36.3528881, 59.5205039 36.3519079, 59.5207432 36.3513057)",162.3,,,,,
141,278215422,2449869672,0,385028056,True,بولوار امامیه,primary,60.0,25.842,"LINESTRING (59.5214821 36.3494464, 59.5215729 36.3492258)",161.7,,,,,
