,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bearing,junction,access,bridge
2659,659567695,659567697,0,963665388,True,,بولوار فارغ التحصیلان,secondary,50,77.49000000000001,"LINESTRING (59.4689481 36.3382375, 59.4688368 36.3381873, 59.4687094 36.3381409, 59.4685721 36.3381472, 59.468138 36.3382703)",272.9,,,
2660,659567697,659567688,0,387107504,True,,,secondary,40,415.332,"LINESTRING (59.468138 36.3382703, 59.4679359 36.3383353, 59.4640214 36.3395658, 59.4638148 36.3396201)",291.2,,,
2661,659567707,659567713,0,51574148,True,,بولوار فارغ التحصیلان,secondary,50,338.525,"LINESTRING (59.469104 36.3381951, 59.4691931 36.3383791, 59.4694968 36.3389796, 59.4696219 36.3392437, 59.4698172 36.3396562, 59.4701189 36.3402931, 59.4704667 36.3410346)",21.1,,,
2662,659567708,659567695,0,51574147,True,,بولوار فارغ التحصیلان,secondary,50,108.432,"LINESTRING (59.4694008 36.3391419, 59.4689481 36.3382375)",202.0,,,
2663,659567708,1030952137,0,191243487,False,,فارغ التحصیل ۶,residential,30,195.705,"LINESTRING (59.4694008 36.3391419, 59.4673651 36.3397812)",291.3,,,
2664,659567709,659567689,0,381812639,True,3,بزرگراه وکیل آباد,trunk,80,68.951,"LINESTRING (59.4694077 36.3376992, 59.4686914 36.3379263)",291.5,,,
2665,659567709,659567707,0,963665389,True,,بولوار فارغ التحصیلان,secondary,50,66.889,"LINESTRING (59.4694077 36.3376992, 59.4692268 36.3377944, 59.4691106 36.3379749, 59.4690819 36.338074, 59.469104 36.3381951)",333.7,,,
2666,659567710,659567711,0,51574147,True,,بولوار فارغ التحصیلان,secondary,50,177.237,"LINESTRING (59.4710322 36.3425678, 59.4707274 36.3419422, 59.4705468 36.3415552, 59.4703162 36.3410819)",201.2,,,
2667,659567711,980857286,0,191239611,False,,فارغ التحصیل ۱۰,residential,30,127.947,"LINESTRING (59.4703162 36.3410819, 59.4689851 36.3414995)",291.3,,,
2668,659567711,659567713,0,969558960,False,,,residential,,14.47,"LINESTRING (59.4703162 36.3410819, 59.4704667 36.3410346)",111.3,,,
2669,659567711,659567708,0,51574147,True,,بولوار فارغ التحصیلان,secondary,50,230.774,"LINESTRING (59.4703162 36.3410819, 59.4696384 36.3396435, 59.4695693 36.3394977, 59.4694008 36.3391419)",200.8,,,
2670,659567713,980856866,0,84359074,False,,فارغ التحصیلان ۹,residential,30,164.074,"LINESTRING (59.4704667 36.3410346, 59.472149 36.3404507)",113.3,,,
2671,659567713,659567711,0,969558960,False,,,residential,,14.47,"LINESTRING (59.4704667 36.3410346, 59.4703162 36.3410819)",291.3,,,
2672,659567713,659567740,0,51574148,True,,بولوار فارغ التحصیلان,secondary,50,358.802,"LINESTRING (59.4704667 36.3410346, 59.4707936 36.3417089, 59.4710811 36.3423086, 59.4713603 36.3428911, 59.4715666 36.3433215, 59.4716938 36.3435992, 59.4718993 36.3440479)",21.0,,,
2673,659567714,417716605,0,51574150,True,,بولوار معلم,primary,60,384.101,"LINESTRING (59.4794191 36.3416957, 59.4799423 36.3415376, 59.4819326 36.3409449, 59.4822875 36.3408353, 59.4826313 36.3406965, 59.4829897 36.3405338, 59.4832565 36.3403934, 59.483351 36.3403437)",113.1,,,
2674,659567715,9022443822,0,51574149,True,,بولوار معلم,primary,60,22.275,"LINESTRING (59.4780789 36.3422201, 59.4778464 36.3422912)",290.8,,,
2675,659567715,9022443825,0,974950933,True,,,residential,30,28.197,"LINESTRING (59.4780789 36.3422201, 59.4780493 36.3423294, 59.4780516 36.3424711)",355.0,,,
2676,659567716,9022443826,0,51574150,True,,بولوار معلم,primary,60,116.329,"LINESTRING (59.4780142 36.3421349, 59.4792252 36.3417568)",111.2,,,
2677,659567717,1031090510,0,88848006,False,,معلم ۶۴,residential,30,56.211,"LINESTRING (59.4845517 36.3395543, 59.484327 36.3390823)",201.0,,,
2678,659567717,5658597855,0,968231245,True,,بولوار معلم,primary,60,229.766,"LINESTRING (59.4845517 36.3395543, 59.4860532 36.3385346, 59.486399 36.3383223, 59.4865428 36.3382547)",129.0,,,
