,u,v,key,osmid,oneway,lanes,highway,maxspeed,length,bearing,name,bridge,geometry,width,ref,tunnel,junction
3654,3802388001,5701541098,0,376860833,False,,residential,30,41.027,218.6,,,"LINESTRING (59.6881634 36.2593828, 59.6878777 36.2590946)",,,,
3655,3802388001,3802388012,0,376860833,False,,residential,30,61.788,38.6,,,"LINESTRING (59.6881634 36.2593828, 59.6885936 36.2598169)",,,,
3656,3802388001,5701541097,0,376860841,False,,residential,30,58.62,264.2,حر ۶۰,,"LINESTRING (59.6881634 36.2593828, 59.6879776 36.2595222, 59.6877482 36.2593868, 59.6876476 36.2593407)",,,,
3657,3802388003,3802387982,0,376860844,False,,residential,30,198.217,215.2,حر ۶۴,,"LINESTRING (59.6892285 36.2594071, 59.6879548 36.2579501)",,,,
3658,3802388003,3802387997,0,208136562,False,,residential,30,60.365,119.8,,,"LINESTRING (59.6892285 36.2594071, 59.6897738 36.259158, 59.6898126 36.2591373)",,,,
3659,3802388003,3802388007,0,208136562,False,,residential,30,36.059,307.5,,,"LINESTRING (59.6892285 36.2594071, 59.689198 36.259421, 59.6889098 36.2596044)",,,,
3660,3802388006,3802388023,0,376860839,False,,residential,30,238.882,33.7,حر ۵۲,,"LINESTRING (59.6839487 36.2595988, 59.6848858 36.2607298, 59.6854264 36.2613864)",,,,
3661,3802388007,3802388003,0,208136562,False,,residential,30,36.059,127.5,,,"LINESTRING (59.6889098 36.2596044, 59.689198 36.259421, 59.6892285 36.2594071)",,,,
3662,3802388007,3802388012,0,"[376860840, 208136562]",False,,residential,30,36.908,309.8,حر ۵۸,,"LINESTRING (59.6889098 36.2596044, 59.6888736 36.2596274, 59.6885936 36.2598169)",,,,
3663,3802388007,3802387987,0,376860843,False,,residential,30,139.05599999999998,215.1,حر ۶۲,,"LINESTRING (59.6889098 36.2596044, 59.6885786 36.2592482, 59.6883042 36.2589246, 59.6880187 36.2585813)",,,,
3664,3802388008,5701541097,0,599213056,False,,residential,,35.944,150.3,حر ۶۰,,"LINESTRING (59.6874488 36.2596214, 59.6876476 36.2593407)",,,,
3665,3802388008,4474764917,0,599213056,False,,residential,,51.025,337.2,حر ۶۰,,"LINESTRING (59.6874488 36.2596214, 59.6872285 36.2600445)",,,,
3666,3802388008,3802388015,0,376860840,False,,residential,30,55.037,53.7,حر ۵۸,,"LINESTRING (59.6874488 36.2596214, 59.6876208 36.2596941, 59.6877806 36.2597865, 59.6879403 36.259912)",,,,
3667,3802388008,3802387993,0,376860840,False,,residential,30,188.44,247.7,حر ۵۸,,"LINESTRING (59.6874488 36.2596214, 59.6870598 36.259486, 59.6863512 36.2592747, 59.6858352 36.2590964, 59.6855046 36.2589793)",,,,
3668,3802388010,3802388025,0,376860838,False,,residential,30,244.279,33.6,حر ۵۰,,"LINESTRING (59.6836036 36.2597408, 59.684865 36.2612567, 59.6850005 36.2614134, 59.6851118 36.2615698)",,,,
3669,3802388012,3802388001,0,376860833,False,,residential,30,61.788,218.6,,,"LINESTRING (59.6885936 36.2598169, 59.6881634 36.2593828)",,,,
3670,3802388012,3802388007,0,"[376860840, 208136562]",False,,residential,30,36.908,129.8,حر ۵۸,,"LINESTRING (59.6885936 36.2598169, 59.6888736 36.2596274, 59.6889098 36.2596044)",,,,
3671,3802388012,3802388016,0,376860840,False,,residential,30,49.99,308.4,حر ۵۸,,"LINESTRING (59.6885936 36.2598169, 59.6884752 36.259897, 59.6881569 36.2600963)",,,,
3672,3802388015,3802388016,0,376860840,False,,residential,30,28.234,43.5,حر ۵۸,,"LINESTRING (59.6879403 36.259912, 59.6881569 36.2600963)",,,,
3673,3802388015,3802388008,0,376860840,False,,residential,30,55.037,233.7,حر ۵۸,,"LINESTRING (59.6879403 36.259912, 59.6877806 36.2597865, 59.6876208 36.2596941, 59.6874488 36.2596214)",,,,
3674,3802388015,4474764917,0,450558223,False,,residential,30,66.58300000000001,283.0,حر ۵۶,,"LINESTRING (59.6879403 36.259912, 59.6877247 36.2600035, 59.68749 36.2600187, 59.6873586 36.2600295, 59.6872285 36.2600445)",,,,
3675,3802388016,3802388015,0,376860840,False,,residential,30,28.234,223.5,حر ۵۸,,"LINESTRING (59.6881569 36.2600963, 59.6879403 36.259912)",,,,
3676,3802388016,2679309946,0,75685126,False,,residential,30,60.242,274.1,حر ۵۶,,"LINESTRING (59.6881569 36.2600963, 59.6881428 36.2600994, 59.6881096 36.260106, 59.6879158 36.26013, 59.6876518 36.260148, 59.6874906 36.2601345)",,,,
3677,3802388016,3802388012,0,376860840,False,,residential,30,49.99,128.4,حر ۵۸,,"LINESTRING (59.6881569 36.2600963, 59.6884752 36.259897, 59.6885936 36.2598169)",,,,
