,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,junction,lanes,width
1319,276919495,276919496,0,25409337,False,پویا,residential,30,65.044,"LINESTRING (59.5496322 36.3093574, 59.549683 36.3094085, 59.5500961 36.3098073)",39.7,,,
1320,276919496,276919498,0,25409337,False,پویا,residential,30,61.047,"LINESTRING (59.5500961 36.3098073, 59.5505283 36.3102317)",39.4,,,
1321,276919496,276919313,0,25409343,False,کمال الملک ۲,residential,30,175.18,"LINESTRING (59.5500961 36.3098073, 59.5516073 36.3088078)",129.4,,,
1322,276919496,276919495,0,25409337,False,پویا,residential,30,65.044,"LINESTRING (59.5500961 36.3098073, 59.549683 36.3094085, 59.5496322 36.3093574)",219.7,,,
1323,276919498,276919499,0,25409337,False,پویا,residential,30,59.328,"LINESTRING (59.5505283 36.3102317, 59.5509484 36.3106441)",39.4,,,
1324,276919498,276919496,0,25409337,False,پویا,residential,30,61.047,"LINESTRING (59.5505283 36.3102317, 59.5500961 36.3098073)",219.4,,,
1325,276919498,276919314,0,25409342,False,کمال الملک ۴,residential,30,175.179,"LINESTRING (59.5505283 36.3102317, 59.5520395 36.3092322)",129.4,,,
1326,276919499,276919498,0,25409337,False,پویا,residential,30,59.328,"LINESTRING (59.5509484 36.3106441, 59.5505283 36.3102317)",219.4,,,
1327,276919499,276919315,0,25409341,False,کمال الملک ۶,residential,30,175.172,"LINESTRING (59.5509484 36.3106441, 59.5524596 36.3096447)",129.4,,,
1328,276919499,276919316,0,"[25409337, 536842033]",False,"['پویا', 'کمال الملک ۸']",residential,30,235.084,"LINESTRING (59.5509484 36.3106441, 59.5513726 36.3110606, 59.5528838 36.3100612)",110.5,,,
1329,276919504,264661055,0,389504688,True,بولوار خیام,primary,60,59.34,"LINESTRING (59.5537174 36.3088128, 59.553478 36.3085864, 59.5532879 36.3084066)",220.4,,,
1330,276919891,279470690,0,25639154,False,قدس,residential,30,63.261,"LINESTRING (59.5619124 36.3072899, 59.5621917 36.3078124)",23.3,,,
1331,276919891,2635193645,0,94909219,False,فلسطین ۱۸,tertiary,40,4.883,"LINESTRING (59.5619124 36.3072899, 59.5618987 36.3072474)",194.6,,,
1332,276919891,2635193668,0,94909242,True,سلمان فارسی,tertiary,,187.273,"LINESTRING (59.5619124 36.3072899, 59.5599679 36.3079072)",291.5,,,
1333,276919892,279464454,0,90686888,False,قدس,residential,30,55.03,"LINESTRING (59.5618743 36.3071043, 59.5616401 36.3066468)",202.4,,,
1334,276919892,276919893,0,94909219,False,فلسطین ۱۸,tertiary,40,188.366,"LINESTRING (59.5618743 36.3071043, 59.5638254 36.3064738)",111.9,,,
1335,276919892,2635193645,0,94909219,False,فلسطین ۱۸,tertiary,40,16.062,"LINESTRING (59.5618743 36.3071043, 59.5618987 36.3072474)",7.8,,,
1336,276919893,279470342,0,25647272,True,,residential,30,68.884,"LINESTRING (59.5638254 36.3064738, 59.564102 36.3070518)",21.1,,,
1337,276919893,265808637,0,94909219,False,فلسطین ۱۸,tertiary,40,210.397,"LINESTRING (59.5638254 36.3064738, 59.5660047 36.3057696)",111.8,,,
1338,276919893,276919892,0,94909219,False,فلسطین ۱۸,tertiary,40,188.366,"LINESTRING (59.5638254 36.3064738, 59.5618743 36.3071043)",291.9,,,
1339,276919893,279580921,0,496259250,True,شهید محسن علیان,residential,30,65.462,"LINESTRING (59.5638254 36.3064738, 59.5635613 36.3059249)",201.2,,,
1340,276922752,277937791,0,25507251,False,بهارستان ۱,residential,30,97.03,"LINESTRING (59.5544769 36.3185145, 59.5555577 36.3184589)",93.7,,,
1341,276922752,276922753,0,89164412,False,خیابان بهارستان,tertiary,40,91.699,"LINESTRING (59.5544769 36.3185145, 59.5545528 36.3193369)",4.3,,,
1342,276922752,265809328,0,89164412,False,خیابان بهارستان,tertiary,40,55.372,"LINESTRING (59.5544769 36.3185145, 59.5544311 36.3180179)",184.2,,,
1343,276922753,277937792,0,25507252,False,بهارستان ۳,residential,30,95.883,"LINESTRING (59.5545528 36.3193369, 59.5556201 36.3192734)",94.2,,,
1344,276922753,276922752,0,89164412,False,خیابان بهارستان,tertiary,40,91.699,"LINESTRING (59.5545528 36.3193369, 59.5544769 36.3185145)",184.3,,,
1345,276922753,276922754,0,89164412,False,خیابان بهارستان,tertiary,40,93.271,"LINESTRING (59.5545528 36.3193369, 59.5546043 36.3198952, 59.5546084 36.3199396, 59.55463 36.3201734)",4.3,,,
1346,276922753,278249119,0,"[191372281, 25531213]",True,"['بهارستان ۴', 'بزرگمهر شمالی ۳']",residential,30,258.54999999999995,"LINESTRING (59.5545528 36.3193369, 59.5531042 36.3194262, 59.5516755 36.3195155)",274.4,,,
1347,276922754,277937800,0,25507253,False,بهارستان ۵,residential,30,102.385,"LINESTRING (59.55463 36.3201734, 59.5557657 36.320071)",96.4,,,
1348,276922754,278252004,0,25531501,False,بهارستان ۶,residential,30,100.499,"LINESTRING (59.55463 36.3201734, 59.5535091 36.3202084)",272.2,,,
1349,276922754,277937801,0,89164412,False,خیابان بهارستان,tertiary,40,90.339,"LINESTRING (59.55463 36.3201734, 59.5547048 36.3209836)",4.3,,,
1350,276922754,276922753,0,89164412,False,خیابان بهارستان,tertiary,40,93.271,"LINESTRING (59.55463 36.3201734, 59.5546084 36.3199396, 59.5546043 36.3198952, 59.5545528 36.3193369)",184.3,,,
1351,276922755,287473074,0,25507258,False,بهارستان ۹,residential,30,127.978,"LINESTRING (59.5547496 36.3214691, 59.5561682 36.321334)",96.7,,,
1352,276922755,277938390,0,89164412,False,خیابان بهارستان,tertiary,40,52.651,"LINESTRING (59.5547496 36.3214691, 59.5547932 36.3219413)",4.3,,,
1353,276922755,277937801,0,89164412,False,خیابان بهارستان,tertiary,40,54.134,"LINESTRING (59.5547496 36.3214691, 59.5547048 36.3209836)",184.3,,,
1354,276922755,278248936,0,191368543,False,بهارستان ۱۰,residential,30,129.064,"LINESTRING (59.5547496 36.3214691, 59.55331 36.3215123)",272.1,,,
1355,276922756,277938448,0,25507314,False,بهارستان ۱۳,residential,30,98.946,"LINESTRING (59.5548666 36.3227362, 59.5559617 36.3226207)",97.5,,,
1356,276922756,278249124,0,25531358,False,بهارستان ۱۴,residential,30,65.143,"LINESTRING (59.5548666 36.3227362, 59.5541395 36.3227414)",270.5,,,
1357,276922756,276922757,0,89164412,False,خیابان بهارستان,tertiary,40,90.217,"LINESTRING (59.5548666 36.3227362, 59.5549413 36.3235453)",4.3,,,
1358,276922756,277938390,0,89164412,False,خیابان بهارستان,tertiary,40,88.633,"LINESTRING (59.5548666 36.3227362, 59.5547932 36.3219413)",184.3,,,
1359,276922757,277938488,0,25507315,False,بهارستان ۱۵,residential,30,99.919,"LINESTRING (59.5549413 36.3235453, 59.5560497 36.3234454)",96.4,,,
1360,276922757,278248960,0,25531355,False,بهارستان ۱۶,unclassified,,98.486,"LINESTRING (59.5549413 36.3235453, 59.5538428 36.3235795)",272.2,,,
1361,276922757,276922756,0,89164412,False,خیابان بهارستان,tertiary,40,90.217,"LINESTRING (59.5549413 36.3235453, 59.5548666 36.3227362)",184.3,,,
1362,276922757,276922759,0,89164412,False,خیابان بهارستان,tertiary,40,91.254,"LINESTRING (59.5549413 36.3235453, 59.5549942 36.3241192, 59.5550053 36.3242396, 59.5550168 36.3243637)",4.3,,,
1363,276922759,287473080,0,71006807,False,بهار ۱۷,residential,30,127.843,"LINESTRING (59.5550168 36.3243637, 59.5564394 36.3242733)",94.5,,,
1364,276922759,260723193,0,89164412,False,خیابان بهارستان,tertiary,40,63.746,"LINESTRING (59.5550168 36.3243637, 59.5550696 36.3249354)",4.3,,,
1365,276922759,278248843,0,590886018,False,بهار ۱۸,residential,30,128.845,"LINESTRING (59.5550168 36.3243637, 59.5535823 36.3244468)",274.1,,,
1366,276922759,276922757,0,89164412,False,خیابان بهارستان,tertiary,40,91.254,"LINESTRING (59.5550168 36.3243637, 59.5550053 36.3242396, 59.5549942 36.3241192, 59.5549413 36.3235453)",184.3,,,
1367,276923989,276923991,0,594552645,False,فروسی ۸,residential,,62.125,"LINESTRING (59.5646884 36.3206435, 59.5651391 36.3210681)",40.5,,,
1368,276923989,264472416,0,594552645,False,فروسی ۸,residential,,64.005,"LINESTRING (59.5646884 36.3206435, 59.564224 36.3202061)",220.5,,,
1369,276923989,276924056,0,25409606,False,,residential,30,103.361,"LINESTRING (59.5646884 36.3206435, 59.5654618 36.3201218, 59.5655729 36.3200467)",129.9,,,
1370,276923991,276923993,0,594552645,False,فروسی ۸,residential,,64.396,"LINESTRING (59.5651391 36.3210681, 59.5656063 36.3215082)",40.5,,,
1371,276923991,276923989,0,594552645,False,فروسی ۸,residential,,62.125,"LINESTRING (59.5651391 36.3210681, 59.5646884 36.3206435)",220.5,,,
1372,276923991,276924028,0,25409604,False,خیام جنوبی ۲۲,residential,30,102.942,"LINESTRING (59.5651391 36.3210681, 59.565914 36.3205497, 59.5660229 36.3204765)",129.7,,,
1373,276923993,276923995,0,594552645,False,فروسی ۸,residential,,63.205,"LINESTRING (59.5656063 36.3215082, 59.5660648 36.3219402)",40.5,,,
1374,276923993,276923991,0,594552645,False,فروسی ۸,residential,,64.396,"LINESTRING (59.5656063 36.3215082, 59.5651391 36.3210681)",220.5,,,
1375,276923993,264661043,0,25409611,False,خیام جنوبی ۲۴,residential,30,102.92,"LINESTRING (59.5656063 36.3215082, 59.5663699 36.3209811, 59.5664787 36.320906)",130.6,,,
